,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
0,892420643555336193,38078,8328,7574147,140768,2017-08-01 16:23:56
1,892177421306343426,32679,6151,7574147,140768,2017-08-01 00:17:27
2,891815181378084864,24597,4070,7574147,140768,2017-07-31 00:18:03
3,891689557279858688,41432,8471,7574147,140768,2017-07-30 15:58:51
4,891327558926688256,39611,9166,7574147,140768,2017-07-29 16:00:24
5,891087950875897856,19890,3051,7574147,140768,2017-07-29 00:08:17
6,890971913173991426,11620,2022,7574147,140768,2017-07-28 16:27:12
7,890729181411237888,64237,18477,7574147,140768,2017-07-28 00:22:40
8,890609185150312448,27323,4189,7574147,140768,2017-07-27 16:25:51
9,890240255349198849,31350,7224,7574148,140768,2017-07-26 15:59:51
10,890006608113172480,30132,7182,7574148,140768,2017-07-26 00:31:25
11,889880896479866881,27314,4874,7574148,140768,2017-07-25 16:11:53
12,889665388333682689,47265,9846,7574148,140768,2017-07-25 01:55:32
13,889638837579907072,26678,4444,7574148,140768,2017-07-25 00:10:02
14,889531135344209921,14850,2202,7574148,140768,2017-07-24 17:02:04
15,889278841981685760,24802,5264,7574148,140768,2017-07-24 00:19:32
16,888917238123831296,28616,4405,7574148,140768,2017-07-23 00:22:39
17,888804989199671297,25109,4203,7574148,140768,2017-07-22 16:56:37
18,888554962724278272,19486,3477,7574148,140768,2017-07-22 00:23:06
19,888078434458587136,21377,3421,7574148,140768,2017-07-20 16:49:33
20,887705289381826560,29663,5277,7574148,140768,2017-07-19 16:06:48
21,887517139158093824,45470,11444,7574150,140768,2017-07-19 03:39:09
22,887473957103951883,67858,17802,7574150,140768,2017-07-19 00:47:34
23,887343217045368832,33107,10190,7574150,140768,2017-07-18 16:08:03
24,887101392804085760,30047,5844,7574150,140768,2017-07-18 00:07:08
25,886983233522544640,34551,7617,7574150,140768,2017-07-17 16:17:36
26,886736880519319552,11846,3216,7574151,140768,2017-07-16 23:58:41
27,886680336477933568,22045,4372,7574151,140768,2017-07-16 20:14:00
28,886366144734445568,20821,3138,7574151,140768,2017-07-15 23:25:31
29,886267009285017600,115,4,7574151,140768,2017-07-15 16:51:35
30,886258384151887873,27506,6163,7574151,140768,2017-07-15 16:17:19
31,886054160059072513,0,105,7574151,140768,2017-07-15 02:45:48
32,885984800019947520,32079,6649,7574151,140768,2017-07-14 22:10:11
33,885528943205470208,35362,6305,7574151,140768,2017-07-13 15:58:47
34,885518971528720385,20084,3685,7574151,140768,2017-07-13 15:19:09
35,885311592912609280,0,18193,7574151,140768,2017-07-13 01:35:06
36,885167619883638784,21556,4294,7574151,140768,2017-07-12 16:03:00
37,884925521741709313,76126,17893,7574151,140768,2017-07-12 00:01:00
38,884876753390489601,27443,5502,7574151,140768,2017-07-11 20:47:12
39,884562892145688576,23879,4602,7574151,140768,2017-07-11 00:00:02
40,884441805382717440,26518,5548,7574151,140768,2017-07-10 15:58:53
41,884247878851493888,71775,20092,7574151,140768,2017-07-10 03:08:17
42,884162670584377345,20003,2930,7574151,140768,2017-07-09 21:29:42
43,883838122936631299,21527,3382,7574151,140768,2017-07-09 00:00:04
44,883482846933004288,45140,9745,7574151,140768,2017-07-08 00:28:19
